lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
88271,43157,2548,0.00860544,0.23,32782779,25300589,3809511547,109964036,224914508,9710000000000.0,0.001979251,445162.3099,19211869806.0,829000000000000.0,3920000000.0,1063,183288,184351,182443,575,494181
23140,8628,35039,0.00370564,0.2,739906,60468002,199651920,302316492,810802460,7000000000000.0,0.0007411280000000001,600908.4056,5184637723.0,44700000000000.0,502000000.0,13556,46308,59864,135775,1575,145361
26689,24945,10348,0.00082282,0.13,547816,33558389,665757105,258130860,276177772,6890000000000.0,0.00010696700000000001,29541.79727,736920132.8,18400000000000.0,924000000.0,7775,10804,18579,33941,539,35540
71338,23827,8242,0.00108175,0.15,1838785,29459093,1699770526,196382134,587967796,14000000000000.0,0.000162263,95405.1245,2273217901.0,54200000000000.0,1900000000.0,1739,34787,36526,85032,741,88034
57417,4990,26049,0.00952101,0.27,2728256,35101184,286510830,129984510,1495655433,7460000000000.0,0.002570673,3844840.59,19185754545.0,95800000000000.0,416000000.0,1314,114566,115880,269536,288,386953
63775,44774,6798,8.43e-05,0.17,240692,51750197,2855461850,304373652,433542450,19400000000000.0,1.4300000000000002e-05,6212.359829,278152199.0,12500000000000.0,3160000000.0,11544,8215,19759,19747,11264,12405
123371,30844,8668,0.00160539,0.13,6109075,34757461,3805255124,267355792,1069379828,33000000000000.0,0.000208701,223180.3187,6883773749.0,212000000000000.0,4070000000.0,9252,173106,182358,198590,1356,377116
60567,40756,26601,0.00082282,0.05,2031142,54208257,2468468652,1084150356,1611142767,65700000000000.0,4.1141000000000005e-05,66284.02458,2701471706.0,110000000000000.0,3550000000.0,15429,110324,125753,178256,5149,330095
51052,10294,38208,0.00082487,0.07,433534,27534437,525529288,393313152,1950594816,20100000000000.0,5.7700000000000007e-05,112629.1002,1159403958.0,11900000000000.0,919000000.0,6706,45112,51818,88880,1913,113017
94340,10152,16472,0.02533638,0.1,24266025,16722661,957739680,167223744,1553968480,15800000000000.0,0.002533638,3937193.5919999997,39970389343.0,406000000000000.0,1120000000.0,1585,839718,841303,489409,332,962510
138381,26832,9184,0.00018467,0.27,685694,66541578,3713038992,246425088,1270891104,34100000000000.0,4.99e-05,63367.77425,1700284119.0,45600000000000.0,3960000000.0,1987,43440,45427,125825,1291,58298
143769,831,14638,0.00056263,0.3,67259,3651449,119472039,12164178,2104490622,1750000000000.0,0.00016878900000000003,355214.8676,295183555.0,246000000000.0,132000000.0,63,17163,17226,19677,40,25445
85454,49826,824,0.00047003,0.07,2001331,2875681,4257831004,41056624,70414096,3510000000000.0,3.289999999999999e-05,2316.771628,115435463.1,5760000000000.0,4300000000.0,213,3432,3645,6517,126,11521
128996,668,6676,0.00370564,0.15,319550,669462,86169328,4459568,861177296,575000000000.0,0.000555846,478681.9553,319759546.1,214000000000.0,90600000.0,30,10414,10444,19749,22,20867
78709,24244,14016,8.43e-05,0.05,160849,16991946,1908220996,339803904,1103185344,26700000000000.0,4.21e-06,4649.374632,112719438.6,2730000000000.0,2250000000.0,4540,21235,25775,13283,4444,35467
23231,3666,17528,0.01084252,0.15,923543,9640168,85164846,64257648,407192968,1490000000000.0,0.001626378,662249.6849,2427807345.0,8900000000000.0,149000000.0,267,23470,23737,51971,143,87796
92588,76143,8287,0.00370564,0.01,26124739,6310421,7049928084,630997041,767276756,58400000000000.0,3.71e-05,28432.51438,2164936943.0,165000000000000.0,7680000000.0,8749,512561,521310,103475,2851,1310437
49759,2614,21492,0.00082487,0.17,107315,9552833,130070026,56180088,1069420428,2800000000000.0,0.000140228,149962.5808,392002186.3,1030000000000.0,186000000.0,178,13002,13180,26405,1085,25545
146116,15989,8028,0.00013363,0.3,312211,38513493,2336248724,128359692,1173019248,18800000000000.0,4.0089e-05,47025.16863,751885421.3,12000000000000.0,2460000000.0,1397,27881,29278,62497,418,36285
75942,25749,14748,0.00296184,0.1,5791819,37977426,1955430558,379746252,1119992616,28800000000000.0,0.000296184,331723.893,8541558520.0,220000000000000.0,2340000000.0,10246,163919,174165,203671,1896,467906
73733,72452,704,0.00047003,0.3,2511000,15312633,5342103316,51006208,51908032,3760000000000.0,0.000141009,7319.499684,530312391.1,38500000000000.0,5390000000.0,536,3234,3770,9113,158,11516
61837,15728,14842,0.02533638,0.13,24642471,30348225,972572336,233434976,917784754,14400000000000.0,0.0032937290000000004,3022934.627,47544715815.0,748000000000000.0,1210000000.0,1473,557502,558975,415586,1186,1869468
58590,32693,7041,0.00108175,0.13,2072146,29926629,1915482870,230191413,412532190,13500000000000.0,0.00014062799999999998,58013.37055,1896631123.0,62000000000000.0,2150000000.0,1632,34854,36486,57292,1112,82174
14556,57246,26971,0.00370564,0.03,3087915,46321340,833272776,1543981866,392589876,22500000000000.0,0.00011116899999999999,43643.90244,2498438839.0,143000000000000.0,2380000000.0,16222,119398,135620,61188,13911,478572
