lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
19306,38528,22318,0.00041097,0.05,305707,42994698,21194,30542,49972
61507,64168,3007,0.00013363,0.13,527416,25087802,5236,13013,13536
110118,17517,11225,0.00008429,0.25,162597,49161767,30558,40129,36449
22950,10175,25162,0.00296184,0.27,691700,69132631,47689,92847,96421
39045,50871,3696,0.00082282,0.25,1634351,47005874,9559,32010,34758
13984,6161,15339,0.00860544,0.3,741545,28355267,24123,36579,59510
61837,15728,14842,0.02533638,0.13,24642471,30348225,557502,415586,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,347351,69247,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,7758,13500,13397
145291,29857,2164,0.00015297,0.25,663593,16158835,8402,27333,13778
73450,28696,2701,0.00296184,0.17,6242903,13178472,29427,47884,93451
13678,69478,997,0.00370564,0.13,3521622,9012222,4916,4875,18911
123565,34426,2336,0.00182521,0.27,7764316,21716782,66099,84849,124761
92341,7302,10440,0.00018467,0.2,124528,15248655,12122,21304,21244
57417,4990,26049,0.00952101,0.27,2728256,35101184,114566,269536,386953
94340,10152,16472,0.02533638,0.1,24266025,16722661,839718,489409,962510
40319,72941,2948,0.00108175,0.05,3181408,10754886,14466,15681,53022
52172,6086,36193,0.00056263,0.13,178653,28636974,28872,67004,58368
127748,32756,8112,0.00082487,0.2,3451691,53149283,94030,195856,214572
8095,56530,2191,0.00491597,0.13,2249845,16101643,7034,6460,27497
89116,9732,5599,0.00019487,0.13,169010,7084026,7298,10127,12887
9247,4600,6508,0.01084252,0.15,461280,4491926,3773,7696,16290
35390,33639,6233,0.00078778,0.15,937867,31451509,9831,34773,35095
118270,5395,12366,0.00952101,0.17,6075596,11342507,214610,244839,493463
74347,55846,7870,0.00952101,0.01,39531852,4395439,528217,100093,1668677
40304,82417,1274,0.00082185,0.15,2729991,15760247,5854,9957,20113
39955,23735,3557,0.00296184,0.27,2808903,22801970,14226,31345,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,43114,49114,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,22519,84222,47609
31079,62790,10888,0.00491597,0.01,9593404,6837252,157632,40408,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,8077,10037,20858
96518,11880,20321,0.00047003,0.01,538974,2414244,35467,8353,89347
40745,21940,7324,0.00182521,0.13,1631684,20892047,23955,40847,67111
60641,8346,26013,0.00860544,0.07,4355582,15198445,180726,204435,612053
