lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,11666,32010
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500
13678,69478,997,0.00370564,0.13,3521622,9012222,209,4916,5125,4875
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681
52172,6086,36193,0.00056263,0.13,178653,28636974,6732,28872,35604,67004
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127
35390,33639,6233,0.00078778,0.15,937867,31451509,7396,9831,17227,34773
118270,5395,12366,0.00952101,0.17,6075596,11342507,208,214610,214818,244839
74347,55846,7870,0.00952101,0.01,39531852,4395439,9793,528217,538010,100093
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037
40745,21940,7324,0.00182521,0.13,1631684,20892047,1465,23955,25420,40847
60641,8346,26013,0.00860544,0.07,4355582,15198445,4795,180726,185521,204435
29953,2131,9350,0.00082487,0.3,52656,5978570,134,3755,3889,10588
143107,69551,6835,4.34E-06,0.13,43197,61802128,14648,32032,46680,3926
52745,5375,31446,0.00056263,0.17,159512,28734323,1746,26948,28694,64744
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808
118294,20939,4039,0.00034241,0.2,848149,16915945,384,13606,13990,44205
24229,6527,12155,0.00952101,0.25,1505806,19835018,802,28941,29743,48706
70079,93697,14418,0.00034241,0.01,2248370,13509704,8736,71149,79885,29144
135291,86397,9008,0.00163948,5.00E-04,19163682,389151,6474,611157,617631,5372
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,498994,185512
99329,63754,3157,0.00031941,0.15,2022723,30194512,7386,14775,22161,47175
113464,39310,12161,0.00491597,0.1,21926787,47808862,3216,789097,792313,416693
52836,68274,4864,0.00952101,0.001,34345805,332133,7714,263691,271405,9288
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,22801,37877
38879,64726,18126,0.00031941,0.005,803800,5866271,6166,39364,45530,7997
112745,10219,10675,0.00015297,0.1,176246,10908998,408,15655,16063,16460
96812,59640,213,0.00160539,0.27,9269477,3436330,59,5183,5242,7111
141685,11046,7196,0.00041097,0.15,643231,11925181,866,19300,20166,53239
77620,23824,7966,0.00018467,0.03,341503,5693951,2249,12598,14847,7924
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839
140966,54271,5749,2.09E-05,0.13,159741,40567960,9334,23356,32690,20061
53554,40303,24466,0.00034241,0.03,739075,29582358,9713,50785,60498,44166
116075,22610,9987,0.01084252,0.27,28456074,60971279,1888,826964,828852,857444
