lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
37323,42190,40215,0.00860544,0.03,13550901,50900603,1574657370,1696670850,1500944445,63324846134550,0.0002581632,387488.620943424,16348144917.60306,831271,242055,2903080
70266,23925,8549,0.00182521,0.23,3068395,47046079,1681114050,204534825,600704034,14371844013450,0.00041979830000000003,252174.53227634224,6033275684.711487,61616,135220,152603
108176,10277,16847,0.02533638,0.01,28169438,1731551,1111724752,173136619,1822441072,18729226896944,0.0002533638,461740.5952779936,4745308097.67194,1046768,195786,1219710
18623,36187,9617,0.00370564,0.15,2497381,52205458,673910501,348010379,179097391,6480997288117,0.000555846,99550.568397786,3602436418.610682,31280,41727,130844
45554,44248,4608,0.00370564,0.23,7469617,46903538,2015673392,203894784,209912832,9288222990336,0.0008522972000000001,178908.1189576704,7916326447.639001,74242,80066,195790
63185,35864,30908,0.00034241,0.05,775950,55426907,2266066840,1108484512,1952921980,70039593890720,1.7120500000000003e-05,33435.00075859,1199112867.2060719,75389,104589,180799
39684,35674,39856,0.02533638,0.0005,35870059,710931,1415687016,1421822944,1581645504,56423621709696,1.266819e-05,20036.58575731776,714785160.3065537,2049867,44884,7503112
145742,7273,5457,0.00041097,0.15,435646,5954690,1059981566,39688761,795314094,5784319405662,6.164549999999999e-05,49027.534981676996,356577261.92173684,11524,27591,24668
104935,30190,2283,0.00160539,0.2,5085929,13788125,3167987650,68923770,239566605,7232515804950,0.00032107800000000003,76919.56640019,2322201709.621736,34394,49699,78718
104687,62677,694,0.00031941,0.15,2095829,6529094,6561467099,43497838,72652778,4553658166706,4.79115e-05,3480.903573147,218172593.25413454,3692,9602,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,3013527069,154017423,121019907,7494641820603,4.7003000000000004e-05,5688.298688721001,352270649.49380285,6383,18750,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,1986933004,143177060,788955440,14981474850160,5.13615e-05,40521.93483156,769471020.5164928,23942,63377,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,35125895,37043655,244905969,564508258545,0.0021898323,536303.0013789987,1236178418.178592,9024,27148,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,698455875,612199965,1307649375,23646223648125,5.47563e-05,71602.0414723125,1294779715.943827,72861,89916,250530
99120,5167,1758,0.00182521,0.15,934917,1362866,512153040,9083586,174252960,900365044320,0.0002737815,47707.23676824,246503292.38149607,4727,14781,12013
127421,28581,11899,0.00082185,0.2,2993060,68021844,3641819601,340085319,1516182479,43334011432299,0.00016437,249214.91407323,7122811459.126987,125348,274334,268603
