lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
23140,8628,35039,0.00370564,0.2,739906,60468002,13556,46308,59864,135775
53386,9774,22227,1.65E-05,0.27,8615,58664254,12630,20011,32641,4190
132476,27494,4938,0.00019487,0.2,709797,27158635,1358,21340,22698,51941
61976,26432,5920,0.00047003,0.2,769992,31299575,1620,20813,22433,46613
112945,18830,13819,0.00163948,0.001,3486790,260221,1965,121657,123622,3001
20418,11968,27891,0.00082185,0.2,200845,66765881,2522,37855,40377,63946
30333,14254,14880,0.00041097,0.25,177699,53028812,11407,7381,18788,43953
23962,71633,21505,0.00056263,0.03,965770,46214520,15810,46116,61926,47498
13499,38946,34963,0.00082487,0.005,433667,6808399,7450,40469,47919,7348
139920,39416,1928,0.00019487,0.2,1074756,15202048,248,9523,9771,27114
62792,45902,1805,0.00041097,0.3,1184551,24861976,899,4206,5105,17457
143052,52536,2399,0.00078778,0.07,5920522,8823825,1027,54997,56024,47971
41846,72699,6721,0.00370564,0.01,11273405,4886774,4926,115867,120793,34504
111901,76334,779,0.00056263,0.23,4805928,13678481,368,10459,10827,22076
22778,10815,19643,0.00056263,0.13,138607,27618796,6532,13860,20392,28763
16040,39396,27507,0.00952101,0.001,6016511,1083671,6054,235257,241311,11554
4161,12489,19123,0.01084252,0.17,563597,40603716,1656,14011,15667,18523
144319,38023,7918,0.00860544,0.005,47222253,1505374,1381,1234024,1235405,106462
114116,19946,2585,0.00160539,0.27,3654144,13923102,198,28996,29194,55910
26889,71999,9831,0.00370564,0.01,7174091,7078480,5636,106373,112009,29793
89300,62672,2675,0.00370564,0.2,20739217,33537183,1698,152981,154679,126078
9399,66337,15140,0.00013363,0.03,83327,30132156,9780,13616,23396,3220
50934,66250,15893,0.00491597,0.03,16588394,31588707,13683,415649,429332,166783
119596,15184,2537,0.00952101,0.17,17289871,6549136,173,130484,130657,107167
8877,3484,43992,0.00031941,0.3,9881,45990272,1824,19359,21183,8109
113491,42518,3849,0.00163948,0.2,7911293,32733423,1719,102140,103859,113186
42382,53674,3279,0.00056263,0.2,1279906,35208943,1764,7634,9398,18861
87665,48729,17510,0.00296184,5.00E-04,12652686,426640,5665,495255,500920,9790
13215,37014,43155,0.00370564,0.01,1812736,15973788,10216,113954,124170,46605
29273,47975,30238,0.00018467,0.01,259353,14507068,8951,40627,49578,9360
94087,88687,10808,0.00082185,0.07,6857851,67103577,18269,203999,222268,207818
25990,4298,32818,0.00019487,0.27,21773,38093822,1512,21544,23056,20527
141815,72084,4985,0.00182521,0.15,18658731,53907250,2535,362039,364574,228512
113223,10018,11357,0.00082487,0.23,935663,26169939,1149,37470,38619,138725
37515,49256,17206,0.00082282,0.07,1520477,59327094,14557,64578,79135,82099
