lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
88998,25196,4008,0.00047003,0.15,1054009,15149256,2242393608,100985568,356703984,8990000000000.0,7.049999999999999e-05,25149.23604,633660151.3,16000000000000.0,2340000000.0,809,12730,13539,37942,207,29246
131503,46495,3807,0.00019487,0.27,1191490,47802468,6114231985,177006465,500631921,23300000000000.0,5.2600000000000005e-05,26340.69846,1224710775.0,57000000000000.0,6290000000.0,2090,30850,32940,69208,692,38575
107587,53799,3145,0.00108175,0.25,6261286,42301711,5788073013,169197855,338361115,18200000000000.0,0.000270438,91505.53404,4922906226.0,265000000000000.0,5960000000.0,1694,72188,73882,79405,634,135941
128013,44114,3058,0.00952101,0.23,53767513,31027824,5647165482,134900612,391463754,17300000000000.0,0.002189832,857239.9728,37816284160.0,1670000000000000.0,5780000000.0,1397,484021,485418,375175,284,1085258
38625,18083,33855,0.00182521,0.03,1274885,18366819,698455875,612199965,1307649375,23600000000000.0,5.479999999999999e-05,71602.04147000001,1294779716.0,23400000000000.0,1310000000.0,6288,72861,79149,89916,2912,250530
46820,35088,10000,0.00056263,0.13,924313,45617340,1642820160,350880000,468200000,16400000000000.0,7.31e-05,34245.037580000004,1201589879.0,42200000000000.0,1990000000.0,10143,16832,26975,59092,1098,56663
58210,37778,9183,0.00108175,0.03,2378882,10408478,2199057380,346915374,534542430,20200000000000.0,3.2500000000000004e-05,17347.23821,655343965.1,24800000000000.0,2550000000.0,3607,40075,43682,43297,1641,126355
63724,95476,2057,0.00952101,0.25,57927529,49106905,6084112624,196394132,131080268,12500000000000.0,0.0023802529999999997,312004.1356,29788906851.0,2840000000000000.0,6280000000.0,2108,187425,189533,226254,1025,611491
102673,87802,1960,0.00015297,0.15,1379024,25825028,9014894746,172091920,201239080,17700000000000.0,2.2899999999999998e-05,4617.53131,405428484.1,35600000000000.0,9190000000.0,1707,15328,17035,22402,6407,21386
64727,24398,9444,0.00041097,0.3,649017,69131561,1579209346,230414712,611281788,14900000000000.0,0.000123291,75365.54292,1838768516.0,44900000000000.0,1810000000.0,2115,46482,48597,71921,1144,41937
98886,8611,6183,0.00078778,0.17,670882,9052354,851507346,53241813,611412138,5260000000000.0,0.00013392299999999998,81881.90319,705085068.4,6070000000000.0,905000000.0,175,13248,13423,46085,119,31557
134963,50115,3152,0.00018467,0.15,1249062,23699508,6763670745,157962480,425403376,21300000000000.0,2.7699999999999996e-05,11783.88622,590549457.8,29600000000000.0,6920000000.0,1483,18037,19520,40413,559,33561
47130,68204,3695,0.00013363,0.25,429558,63007579,3214454520,252013780,174145350,11900000000000.0,3.34e-05,5817.76078,396794556.2,27100000000000.0,3470000000.0,2142,6244,8386,31808,537,13699
78709,24244,14016,8.43e-05,0.05,160849,16991946,1908220996,339803904,1103185344,26700000000000.0,4.21e-06,4649.374632,112719438.6,2730000000000.0,2250000000.0,4540,21235,25775,13283,4444,35467
86472,8947,13177,0.00952101,0.05,7366241,5894871,773664984,117894619,1139441544,10200000000000.0,0.00047605099999999996,542431.7167,4853136570.0,43400000000000.0,892000000.0,295,201178,201473,137219,339,554713
3304,87024,2203,0.00370564,0.13,1065607,24929437,287527296,191713872,7278712,633000000000.0,0.00048173300000000003,3506.3972240000003,305140712.0,26600000000000.0,479000000.0,1744,5461,7205,3806,410,15866
50174,13136,4728,0.00108175,0.27,713000,16771400,659085664,62107008,237222672,3120000000000.0,0.000292073,69286.21887000001,910143771.0,12000000000000.0,721000000.0,233,9687,9920,30232,141,20122
43659,47194,33980,2.09e-05,0.03,43023,48110586,2060442846,1603652120,1483532820,70000000000000.0,6.26e-07,929.2849583999999,43856674.33,2070000000000.0,3660000000.0,16138,45903,62041,4012,14776,58407
27624,52458,15862,0.00163948,0.005,2375820,4160472,1449099792,832088796,438171888,23000000000000.0,8.2e-06,3591.8702350000003,188422328.8,9880000000000.0,2280000000.0,4588,59642,64230,13549,4786,216479
13499,38946,34963,0.00082487,0.005,433667,6808399,525732054,1361668998,471965537,18400000000000.0,4.12e-06,1946.5510629999999,75810377.68,2950000000000.0,1890000000.0,7450,40469,47919,7348,7097,105920
29129,30290,17065,0.00182521,0.07,1610458,36185243,882317410,516898850,497086385,15100000000000.0,0.000127765,63510.09285,1923720713.0,58300000000000.0,1400000000.0,9427,52251,61678,70980,2378,151100
58668,24638,17499,0.00015297,0.1,221120,43117639,1445462184,431140362,1026631332,25300000000000.0,1.5297e-05,15704.379490000001,386924501.8,9530000000000.0,1880000000.0,10197,30209,40406,26881,9876,44458
64348,19672,7712,0.00370564,0.2,4690976,30345813,1265853856,151710464,496251776,9760000000000.0,0.0007411280000000001,367786.0862,7235087889.0,142000000000000.0,1420000000.0,1590,69520,71110,110950,311,193783
141148,75771,13011,0.00160539,0.05,17169578,49293225,10694925108,985856481,1836476628,139000000000000.0,8.03e-05,147413.0607,11169635022.0,846000000000000.0,11700000000.0,16644,827216,843860,351382,4737,1647627
99144,97504,3991,0.00163948,0.15,15848898,58377287,9666936576,389138464,395683704,38600000000000.0,0.000245922,97307.32786,9487853695.0,925000000000000.0,10100000000.0,16805,158802,175607,131483,769,399966
82934,89137,21601,0.00078778,0.001,5823727,1925541,7392487958,1925448337,1791457334,160000000000000.0,7.88e-07,1411.274259,125796753.6,11200000000000.0,9320000000.0,9435,269349,278784,11231,9414,765326
19873,25286,15199,0.00082487,0.01,414516,3843351,502508678,384321914,302049727,7640000000000.0,8.25e-06,2491.517583,63000513.61,1590000000000.0,887000000.0,2474,15450,17924,4286,2500,42413
58182,38661,6290,0.00019487,0.15,438343,36481471,2249374302,243177690,365964780,14100000000000.0,2.9199999999999998e-05,10697.3335,413569610.5,16000000000000.0,2490000000.0,1736,22487,24223,31320,474,21228
138847,26064,5323,0.00078778,0.03,2850930,4162554,3618908208,138738672,739082581,19300000000000.0,2.36e-05,17467.03427,455260781.2,11900000000000.0,3760000000.0,1137,46113,47250,34498,405,116383
94987,12224,14802,0.00078778,0.13,914710,23522693,1161121088,180939648,1405997574,17200000000000.0,0.000102411,143990.1799,1760135960.0,21500000000000.0,1340000000.0,1656,39403,41059,113319,370,96480
93284,87084,5230,0.00034241,0.15,2781610,68321502,8123543856,455449320,487875320,42500000000000.0,5.14e-05,25058.00825,2182151590.0,190000000000000.0,8580000000.0,30600,32152,62752,63625,2301,98853
2876,2397,49094,0.02533638,0.27,174729,31776040,6893772,117678318,141194344,338000000000.0,0.006840823,965885.4594,2315227446.0,5550000000000.0,125000000.0,1241,10239,11480,23192,7093,46333
115202,59641,6193,0.00160539,0.03,11030405,11082500,6870762482,369356713,713445986,42600000000000.0,4.8200000000000006e-05,34360.771539999994,2049310776.0,122000000000000.0,7240000000.0,5946,212349,218295,97268,1727,466523
40505,12378,27829,0.00041097,0.2,206065,68898718,501370890,344467362,1127213645,14000000000000.0,8.219399999999999e-05,92650.19834,1146824155.0,14200000000000.0,846000000.0,2688,42474,45162,80420,1630,25462
147234,74227,1712,0.00013363,0.2,1460409,25420363,10928738118,127076624,252064608,18700000000000.0,2.6725999999999998e-05,6736.678712999999,500043450.9,37100000000000.0,11100000000.0,1275,17746,19021,32416,408,21034
78524,34189,1356,0.02533638,0.27,68020463,12526240,2684657036,46360284,106478544,3640000000000.0,0.006840823,728400.8302,24903295984.0,852000000000000.0,2730000000.0,329,156229,156558,188039,282,187206
60528,5350,3159,0.00182521,0.23,591139,3888820,323824800,16900650,191207952,1020000000000.0,0.00041979800000000004,80268.7732,429437936.6,2300000000000.0,341000000.0,75,4707,4782,18552,100,13005
35009,9682,18090,0.00041097,0.15,139309,26274117,338957138,175147380,633312810,6130000000000.0,6.159999999999999e-05,39040.88483,377993846.9,3660000000000.0,514000000.0,1630,18428,20058,28340,382,27161
60641,8346,26013,0.00860544,0.07,4355582,15198445,506109786,217104498,1577454333,13200000000000.0,0.000602381,950228.2031,7930604583.0,66200000000000.0,723000000.0,4795,180726,185521,204435,1085,612053
84555,83918,22255,0.00182521,0.03,12951257,56030479,7095686490,1867595090,1881771525,158000000000000.0,5.479999999999999e-05,103038.8462,8646813892.0,726000000000000.0,8960000000.0,21183,648800,669983,306278,8598,1733734
11952,74935,8091,0.00952101,0.005,8527475,3031693,895623120,606299085,96703632,7250000000000.0,4.7600000000000005e-05,4603.581236999999,344969360.0,25900000000000.0,1500000000.0,4637,94930,99567,10416,4416,366476
51159,22716,2259,0.00160539,0.27,1865687,13857905,1162127844,51315444,115568181,2630000000000.0,0.000433455,50093.640569999996,1137927139.0,25900000000000.0,1210000000.0,199,6611,6810,19250,215,23568
32314,2144,8760,0.00296184,0.15,205221,2817707,69281216,18781440,283070640,607000000000.0,0.00044427599999999996,125761.4917,269632638.1,578000000000.0,88100000.0,73,4814,4887,14211,551,12748
146971,24597,2151,0.00108175,0.23,3910608,12169905,3615045687,52908147,316134621,7780000000000.0,0.00024880299999999997,78655.08404,1934679102.0,47600000000000.0,3670000000.0,558,32406,32964,54953,1111,70740
99551,65462,1370,0.00860544,0.15,56081368,13457341,6516807562,89682940,136384870,8930000000000.0,0.001290816,176047.7724,11524439274.0,755000000000000.0,6610000000.0,460,185531,185991,116223,234,472963
63894,38439,4471,0.00860544,0.27,21135422,46407078,2456021466,171860769,285670074,11000000000000.0,0.002323469,663745.504,25513713430.0,981000000000000.0,2630000000.0,1695,169961,171656,211908,637,486512
19262,19661,44929,0.00041097,0.03,155648,26502292,378710182,883349069,865422398,17000000000000.0,1.23e-05,10669.87929,209780496.7,4130000000000.0,1260000000.0,9003,34451,43454,14889,8484,67751
21168,56690,12862,0.00047003,0.03,564060,21875878,1200013920,729146780,272262816,15400000000000.0,1.4099999999999999e-05,3839.1507420000003,217641455.6,12300000000000.0,1930000000.0,7295,18606,25901,18301,6889,49545
75009,26498,16496,0.01084252,0.01,21551351,4371284,1987588482,437111008,1237348464,32800000000000.0,0.000108425,134159.7547,3554965179.0,94200000000000.0,2420000000.0,6563,580925,587488,145648,1941,1920077
44946,23862,10346,0.00013363,0.05,143321,12345012,1072501452,246876252,465011316,11100000000000.0,6.68e-06,3106.9731079999997,74138592.3,1770000000000.0,1320000000.0,3432,12664,16096,5487,3534,18527
143107,69551,6835,4.34e-06,0.13,43197,61802128,9953234957,475381085,978136345,68000000000000.0,5.64e-07,551.8645257999999,38382729.64,2670000000000.0,10400000000.0,14648,32032,46680,3926,2449,35055
71595,49258,560,0.00082185,0.13,2898403,3589833,3526626510,27584480,40093200,1970000000000.0,0.000106841,4283.577535,211000462.2,10400000000000.0,3550000000.0,295,3019,3314,6040,121,9778
