lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
147234,74227,1712,0.00013363,0.2,1460409,25420363,10928738118,127076624,252064608,18700000000000.0,2.6725999999999998e-05,6736.678712999999,500043450.9,37100000000000.0,11100000000.0,1275,17746,19021,32416,408,21034
40319,72941,2948,0.00108175,0.05,3181408,10754886,2940908179,215030068,118860412,8670000000000.0,5.41e-05,6428.862534000001,468927662.1,34200000000000.0,3160000000.0,3683,14466,18149,15681,3576,53022
26848,91981,3943,0.00296184,0.17,7314601,61671028,2469505888,362681083,105861664,9740000000000.0,0.000503513,53302.70285,4902835911.0,451000000000000.0,2830000000.0,15672,43114,58786,49114,1855,177962
52997,59347,18456,0.00163948,0.005,5156583,5476661,3145212959,1095308232,978112632,58000000000000.0,8.2e-06,8017.980490000001,475843088.1,28200000000000.0,4240000000.0,6497,157879,164376,34037,5946,512186
52172,6086,36193,0.00056263,0.13,178653,28636974,317518792,220270598,1888261196,11500000000000.0,7.31e-05,138111.0116,840543616.4,5120000000000.0,538000000.0,6732,28872,35604,67004,1121,58368
15728,31500,45522,0.00860544,0.03,4263462,43019639,495432000,1433943000,715970016,22600000000000.0,0.000258163,184837.1104,5822368979.0,183000000000000.0,1930000000.0,15177,247887,263064,116536,12620,1004111
10038,78818,13331,0.01084252,0.005,8579132,5253717,791175084,1050722758,133816578,10500000000000.0,5.42e-05,7254.544615999999,571788697.6,45100000000000.0,1840000000.0,7197,155216,162413,19527,9114,607537
64485,38227,14351,0.00082185,0.05,2025966,27432188,2465068095,548595677,925424235,35400000000000.0,4.11e-05,38027.99538,1453696179.0,55600000000000.0,3010000000.0,7857,58378,66235,97947,2651,178492
33516,14747,19335,0.00108175,0.17,534712,48476577,494260452,285133245,648031860,9560000000000.0,0.000183898,119171.439,1757421211.0,25900000000000.0,779000000.0,11110,27566,38676,86110,1476,63813
51159,22716,2259,0.00160539,0.27,1865687,13857905,1162127844,51315444,115568181,2630000000000.0,0.000433455,50093.640569999996,1137927139.0,25900000000000.0,1210000000.0,199,6611,6810,19250,215,23568
56308,63527,3129,2.09e-05,0.25,74690,49705772,3577078316,198775983,176187732,11200000000000.0,5.22e-06,919.6999609999999,58425779.42,3710000000000.0,3780000000.0,2069,3335,5404,4850,1021,5526
60528,5350,3159,0.00182521,0.23,591139,3888820,323824800,16900650,191207952,1020000000000.0,0.00041979800000000004,80268.7732,429437936.6,2300000000000.0,341000000.0,75,4707,4782,18552,100,13005
17742,94537,13252,0.00082487,0.05,1383598,62644673,1677275454,1252804324,235116984,22200000000000.0,4.1200000000000005e-05,9697.04733,916729763.4,86700000000000.0,2930000000.0,16931,55433,72364,32006,16706,135480
130451,3348,5445,0.00056263,0.27,245799,4923828,436749948,18229860,710305695,2380000000000.0,0.00015191,107902.6092,361257935.5,1210000000000.0,455000000.0,99,8656,8755,25765,54,15951
134344,70936,12491,0.00370564,0.03,35314202,26582231,9529825984,886061576,1678090904,119000000000000.0,0.00011116899999999999,186552.0233,13233254327.0,939000000000000.0,10400000000.0,15813,1552728,1568541,337141,4096,3174760
143170,72851,5332,0.00015297,0.13,1595504,50497653,10430077670,388441532,763382440,55600000000000.0,1.99e-05,15180.699540000001,1105929142.0,80600000000000.0,10800000000.0,11770,44382,56152,76801,1162,73901
77698,6250,17920,0.00082487,0.3,400582,33602895,485612500,112000000,1392348160,8700000000000.0,0.000247461,344551.86799999996,2153449175.0,13500000000000.0,598000000.0,1237,32608,33845,128476,351,56136
58182,38661,6290,0.00019487,0.15,438343,36481471,2249374302,243177690,365964780,14100000000000.0,2.9199999999999998e-05,10697.3335,413569610.5,16000000000000.0,2490000000.0,1736,22487,24223,31320,474,21228
94987,12224,14802,0.00078778,0.13,914710,23522693,1161121088,180939648,1405997574,17200000000000.0,0.000102411,143990.1799,1760135960.0,21500000000000.0,1340000000.0,1656,39403,41059,113319,370,96480
108337,9776,17332,0.00034241,0.23,362662,38973167,1059102512,169437632,1877696884,18400000000000.0,7.879999999999999e-05,147876.7037,1445642655.0,14100000000000.0,1230000000.0,1667,38343,40010,112551,632,64162
34417,1747,45555,0.00182521,0.05,109755,3979659,60126499,79584585,1567866435,2740000000000.0,9.13e-05,143084.2748,249968228.1,437000000000.0,140000000.0,201,18585,18786,16654,151,41599
146723,50138,9134,0.00031941,0.13,2349750,59535716,7356397774,457960492,1340167882,67200000000000.0,4.15e-05,55648.19301,2790089101.0,140000000000000.0,7810000000.0,13810,86127,99937,179105,2347,172021
23746,25972,7874,0.00296184,0.23,1826750,47039032,616731112,204503528,186976004,4860000000000.0,0.000681223,127372.3918,3308115759.0,85900000000000.0,821000000.0,1579,18345,19924,38865,11419,76768
75009,26498,16496,0.01084252,0.01,21551351,4371284,1987588482,437111008,1237348464,32800000000000.0,0.000108425,134159.7547,3554965179.0,94200000000000.0,2420000000.0,6563,580925,587488,145648,1941,1920077
64727,24398,9444,0.00041097,0.3,649017,69131561,1579209346,230414712,611281788,14900000000000.0,0.000123291,75365.54292,1838768516.0,44900000000000.0,1810000000.0,2115,46482,48597,71921,1144,41937
74347,55846,7870,0.00952101,0.01,39531852,4395439,4151982562,439508020,585110890,32700000000000.0,9.520000000000001e-05,55708.46635,3111095012.0,174000000000000.0,4590000000.0,9793,528217,538010,100093,1966,1668677
124279,58082,2980,0.00182521,0.13,13175139,22507337,7218372878,173084360,370351420,21500000000000.0,0.000237277,87875.98499,5104012960.0,297000000000000.0,7390000000.0,1586,140587,142173,101269,351,284444
52088,15022,17838,0.00041097,0.03,321591,8039611,782465936,267962436,929145744,14000000000000.0,1.23e-05,11455.53079,172084983.6,2590000000000.0,1050000000.0,2755,19794,22549,14160,2694,46509
36936,6590,2715,0.02533638,0.25,6167237,4474496,243408240,17891850,100281240,661000000000.0,0.006334095,635190.9009,4185908037.0,27600000000000.0,261000000.0,131,24347,24478,32803,61,89582
