lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586,1186,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247,8064,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500,390,13397
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178,124761
94340,10152,16472,0.02533638,0.1,24266025,16722661,1585,839718,841303,489409,332,962510
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681,3576,53022
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306,12887
9247,4600,6508,0.01084252,0.15,461280,4491926,103,3773,3876,7696,83,16290
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,22741,84222,96,47609
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,163658,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
96518,11880,20321,0.00047003,0.01,538974,2414244,1725,35467,37192,8353,1605,89347
60641,8346,26013,0.00860544,0.07,4355582,15198445,4795,180726,185521,204435,1085,612053
143107,69551,6835,4.34e-06,0.13,43197,61802128,14648,32032,46680,3926,2449,35055
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808,537,13699
24229,6527,12155,0.00952101,0.25,1505806,19835018,802,28941,29743,48706,178,97842
11245,56010,8073,0.00019487,0.13,122741,58786002,13536,7276,20812,7970,13034,12019
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,498994,185512,658,1137366
99329,63754,3157,0.00031941,0.15,2022723,30194512,7386,14775,22161,47175,487,46165
126359,94113,1349,0.00031941,0.13,3798479,16514541,1245,16151,17396,32680,542,38709
64180,3726,23916,0.00296184,0.13,708381,11586162,338,36337,36675,116156,218,103831
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,22801,37877,1048,71788
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839,1320,4686
23575,8948,27730,0.00370564,0.27,781716,66996953,2168,60451,62619,107823,523,120840
140966,54271,5749,2.09e-05,0.13,159741,40567960,9334,23356,32690,20061,608,25551
116075,22610,9987,0.01084252,0.27,28456074,60971279,1888,826964,828852,857444,1181,1882301
137955,35382,14524,0.00078778,0.1,3845302,51389721,13160,199134,212294,276094,2595,437749
27298,79766,4489,0.00163948,0.01,3569962,3581339,3058,25667,28725,11252,2797,89637
88232,60784,23716,0.00182521,0.001,9788985,1441623,7821,526233,534054,17520,7752,1410079
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,81745,76994,5176,217923
39010,9078,33934,0.00370564,0.15,1312402,46212117,10630,79431,90061,189461,1583,241991
110072,20278,11682,0.00860544,0.2,19208585,47382558,1792,621006,622798,444126,1227,1419988
43133,62942,2652,0.00047003,0.13,1276096,21701382,1546,6466,8012,19887,684,20810
36458,44661,39969,0.00952101,0.005,15503072,8925613,12333,934983,947316,138056,7175,3176011
141588,21428,3550,0.00018467,0.1,560287,7608172,289,9834,10123,17138,476,21584
63548,45979,19191,0.00056263,0.05,1643964,44120881,12343,72080,84423,117006,4252,202891
26703,74691,22749,8.43e-05,0.01,168118,16992017,10468,38779,49247,3553,10506,56702
63747,46730,22053,0.00082185,0.005,2448262,5152867,5745,94304,100049,19598,5958,311427
131722,73298,2970,0.00034241,0.07,3305963,15243092,4547,35055,39602,44417,1085,78642
69175,16274,14814,0.00047003,0.05,529169,12055484,3568,22310,25878,29210,1188,59227
147751,75258,10129,0.00031941,0.005,3551712,3811632,4541,128220,132761,14374,4704,294244
139897,49460,2960,0.00182521,0.05,12629356,7321594,1291,142512,143803,70782,466,275669
83826,30839,11021,0.02533638,0.17,65497623,57781073,2672,1372056,1374728,1055493,680,3917770
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,285607,162839,96,301817
142464,94820,844,0.00160539,0.3,21686349,24010189,808,69522,70330,70138,439,138342
119561,1522,6054,0.01084252,0.17,1973556,1566962,70,27729,27799,71045,34,80668
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,1976725,455431,7278,6344489
53559,66856,3035,0.01084252,0.0005,38825420,101458,1211,186126,187337,3125,880,604805
81724,58758,3114,2.09e-05,0.25,100265,45750072,10620,3911,14531,6319,970,15494
100118,11748,9226,0.00182521,0.25,2146861,27099502,1219,55592,56811,152398,235,135648
112858,36186,11984,0.00031941,0.13,1304471,56380562,12867,60434,73301,154425,2229,121227
4326,40343,6596,0.00370564,0.13,646812,34596220,1809,7769,9578,6827,1356,25705
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589,2177,1404512
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,10838,3822,5168,8869
39260,76247,5278,0.00056263,0.15,1684267,60366717,13619,16575,30194,29867,13389,52737
50720,6003,36444,0.00108175,0.17,329375,37192673,1617,43212,44829,134107,1147,85870
47679,20880,10732,0.01084252,0.05,10794459,11205034,5452,187032,192484,83706,1121,610004
14048,771,13751,0.00860544,0.15,93233,1590754,51,3281,3332,10364,38,8331
23231,3666,17528,0.01084252,0.15,923543,9640168,267,23470,23737,51971,143,87796
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,32940,69208,692,38575
42661,98275,810,0.00082282,0.3,3449722,23882852,841,4908,5749,11151,435,16124
41526,6876,37572,2.48e-05,0.17,7090,43921099,9862,21326,31188,3534,1357,30719
92892,29227,5911,0.00015297,0.23,415318,39742536,1718,22950,24668,49584,389,23075
